games: 491, white: 40%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3, forced: 7
games: 502, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3 Be7 , forced: 6
games: 502, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 , forced: 7
games: 366, white: 39%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O 13. Rad1, forced: 12
games: 502, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 , forced: 8
games: 366, white: 39%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 13. Rad1, forced: 13
games: 366, white: 39%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O 13. Rad1, forced: 13
games: 345, white: 39%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2, forced: 10
games: 345, white: 39%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2, forced: 10
games: 345, white: 39%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2, forced: 11
games: 345, white: 39%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2, forced: 12
games: 433, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O , forced: 7
games: 433, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O , forced: 7
games: 433, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O , forced: 8
games: 433, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O , forced: 9
games: 379, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 , forced: 11
games: 379, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O , forced: 11
games: 379, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 , forced: 11
games: 379, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O , forced: 11
games: 379, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 , forced: 12
games: 379, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O , forced: 12
games: 379, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 , forced: 13
games: 379, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O , forced: 13
games: 469, white: 36%, black: 20%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. dxc5, forced: 1
games: 166, white: 43%, black: 21%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Na3 cxd4 , forced: 2
games: 166, white: 43%, black: 21%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Na3 cxd4 , forced: 3
games: 131, white: 44%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. a3 Be7 9. Nc3, forced: 7
games: 166, white: 43%, black: 21%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Na3 cxd4 7. Nb5, forced: 2
games: 166, white: 43%, black: 21%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Na3 cxd4 7. Nb5, forced: 3
games: 131, white: 44%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. a3 Be7 9. Nc3, forced: 7
games: 131, white: 44%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. a3 Be7 9. Nc3, forced: 8
games: 131, white: 44%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. a3 Be7 9. Nc3, forced: 9
games: 146, white: 41%, black: 18%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. a3, forced: 5
games: 146, white: 41%, black: 18%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. a3, forced: 5
games: 146, white: 41%, black: 18%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. a3, forced: 6
games: 168, white: 39%, black: 20%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. dxc5 Qxd1+ , forced: 2
games: 146, white: 41%, black: 18%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. a3, forced: 7
games: 168, white: 39%, black: 20%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. dxc5 Qxd1+ 7. Kxd1, forced: 2
games: 136, white: 43%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. a3 Be7 , forced: 6
games: 136, white: 43%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. a3 Be7 , forced: 6
games: 136, white: 43%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. a3 Be7 , forced: 7
games: 136, white: 43%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. a3 Be7 , forced: 8
games: 102, white: 42%, black: 15%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. dxc5 Qxc5 7. h3, forced: 1
games: 304, white: 34%, black: 19%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. dxc5 Qxc5 , forced: 1
games: 114, white: 42%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. dxc5 Qxd1+ 7. Kxd1 e5 , forced: 3
games: 110, white: 42%, black: 22%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Bg4 6. dxc5 Qxd1+ 7. Kxd1 e5 8. b4, forced: 4
games: 77, white: 54%, black: 20%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Na3 cxd4 7. Nb5 Qd8 , forced: 2
games: 77, white: 54%, black: 20%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Na3 cxd4 7. Nb5 Qd8 , forced: 3
games: 92, white: 39%, black: 16%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 Nc6 , forced: 2
games: 92, white: 39%, black: 16%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 Nc6 , forced: 3
games: 173, white: 39%, black: 24%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3, forced: 3
games: 140, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Be7 8. Nc3, forced: 4
games: 140, white: 39%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Be7 8. Nc3, forced: 5
games: 73, white: 50%, black: 17%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. dxc5 Qxc5 7. Na3, forced: 1
games: 102, white: 43%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. dxc5 Qxc5 , forced: 1
games: 815, white: 36%, black: 27%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 , forced: 4
games: 91, white: 39%, black: 20%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Na3, forced: 1
games: 815, white: 36%, black: 27%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 , forced: 4
games: 815, white: 36%, black: 27%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 , forced: 5
games: 815, white: 36%, black: 27%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 , forced: 6
games: 213, white: 34%, black: 21%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Na3, forced: 2
games: 414, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3, forced: 5
games: 414, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3, forced: 5
games: 414, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3, forced: 6
games: 414, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3, forced: 7
games: 168, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 13. Rad1 Rad8 , forced: 11
games: 142, white: 38%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Be7 , forced: 4
games: 142, white: 38%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Be7 , forced: 5
games: 168, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O 13. Rad1 Rad8 , forced: 11
games: 657, white: 33%, black: 24%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 , forced: 2
games: 168, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 13. Rad1 Rad8 , forced: 11
games: 168, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O 13. Rad1 Rad8 , forced: 11
games: 168, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 13. Rad1 Rad8 , forced: 12
games: 168, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O 13. Rad1 Rad8 , forced: 12
games: 168, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 O-O 11. O-O b6 12. Qe2 Bb7 13. Rad1 Rad8 , forced: 13
games: 168, white: 36%, black: 23%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd6 9. a3 Be7 10. Bd3 b6 11. O-O Bb7 12. Qe2 O-O 13. Rad1 Rad8 , forced: 13
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd8 9. Bd3 Be7 10. O-O O-O 11. a3, forced: 7
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Bd3 Be7 7. O-O Nc6 8. Be3 cxd4 9. cxd4 O-O 10. Nc3 Qd8 11. a3, forced: 7
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Bd3 Nc6 7. O-O Be7 8. Be3 cxd4 9. cxd4 O-O 10. Nc3 Qd8 11. a3, forced: 6
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3 Qd8 9. Bd3 Be7 10. O-O O-O 11. a3, forced: 7
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3 Qd8 9. Bd3 Be7 10. O-O O-O 11. a3, forced: 8
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Bd3 Be7 7. O-O Nc6 8. Be3 cxd4 9. cxd4 O-O 10. Nc3 Qd8 11. a3, forced: 8
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Bd3 Nc6 7. O-O Be7 8. Be3 cxd4 9. cxd4 O-O 10. Nc3 Qd8 11. a3, forced: 7
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3 Qd8 9. Bd3 Be7 10. O-O O-O 11. a3, forced: 9
games: 183, white: 36%, black: 25%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Bd3 Nf6 7. O-O Be7 8. Be3 cxd4 9. cxd4 O-O 10. Nc3 Qd8 11. a3, forced: 7
games: 49, white: 53%, black: 20%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Na3 cxd4 7. Nb5 Qd8 8. Qxd4, forced: 2
games: 49, white: 53%, black: 20%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Na3 cxd4 7. Nb5 Qd8 8. Qxd4, forced: 3
games: 154, white: 39%, black: 26%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 , forced: 4
games: 348, white: 34%, black: 24%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3, forced: 1
games: 696, white: 35%, black: 28%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 e6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3, forced: 4
games: 696, white: 35%, black: 28%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 e6 8. Nc3, forced: 4
games: 233, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 , forced: 2
games: 230, white: 36%, black: 26%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 Nf6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4, forced: 3
games: 696, white: 35%, black: 28%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nf6 6. Be3 cxd4 7. cxd4 Nc6 8. Nc3, forced: 5
games: 696, white: 35%, black: 28%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4 Nf6 8. Nc3, forced: 6
games: 45, white: 55%, black: 24%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 cxd4 6. cxd4 Nf6 7. Nc3 Qa5 , forced: 5
games: 151, white: 39%, black: 27%, pgn:1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. d4 e6 5. Nf3 Nc6 6. Be3 cxd4 7. cxd4, forced: 5
